medium_id	component_index	component_name	current_bigg	proposed_bigg	proposed_tier	mapper_note	why_not_applied
complexlit_PMC5168804_defined_thermophile_medium_with_glucose_yeas	16	Iron (Fe2+)	fe	fe2	fuzzy_name	resolved from the parenthetical qualifier 'Fe2+', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
complexlit_PMC7618129_ycfa_medium_myo_inositol_sole_c_energy_sourc	1	valerate (SCFA)	M03134	pta	fuzzy_name	target M03134 is absent from the BiGGr reactome; substituted pta, which carries the identical InChIKey NQPDZGIKBAWPEJ-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
complexlit_PMC7618129_ycfa_medium_myo_inositol_sole_c_energy_sourc	27	iso-butyrate (SCFA)	ibt	isobuta	exact_name	target ibt is absent from the BiGGr reactome; substituted isobuta, which carries the identical InChIKey KQNPFQTWMSNSAP-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
complexlit_PMC7618129_ycfa_medium_myo_inositol_sole_c_energy_sourc	44	propionate (SCFA)	ppa	prpnte	fuzzy_name	target ppa is absent from the BiGGr reactome; substituted prpnte, which carries the identical InChIKey XBDQKXXYIPTUBI-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
complexlit_PMC7618129_ycfa_medium_phytate_sole_c_energy_source	1	valerate (SCFA)	M03134	pta	fuzzy_name	target M03134 is absent from the BiGGr reactome; substituted pta, which carries the identical InChIKey NQPDZGIKBAWPEJ-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
complexlit_PMC7618129_ycfa_medium_phytate_sole_c_energy_source	27	iso-butyrate (SCFA)	ibt	isobuta	exact_name	target ibt is absent from the BiGGr reactome; substituted isobuta, which carries the identical InChIKey KQNPFQTWMSNSAP-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
complexlit_PMC7618129_ycfa_medium_phytate_sole_c_energy_source	43	propionate (SCFA)	ppa	prpnte	fuzzy_name	target ppa is absent from the BiGGr reactome; substituted prpnte, which carries the identical InChIKey XBDQKXXYIPTUBI-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
complexlit_PMC8269220_jw1_isolation_medium_salinity_varied_by_prop	9	NaHCO3 (bicarbonate)	hco3	h2co3	exact_name	target hco3 is absent from the BiGGr reactome; substituted h2co3, which carries the identical InChIKey BVKZGUZCCUSVTD-UHFFFAOYSA-M; resolved from the parenthetical qualifier 'bicarbonate', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
complexlit_PMC8269220_modified_jw1_medium_chemolithoautotrophic_no	9	NaHCO3 (bicarbonate)	hco3	h2co3	exact_name	target hco3 is absent from the BiGGr reactome; substituted h2co3, which carries the identical InChIKey BVKZGUZCCUSVTD-UHFFFAOYSA-M; resolved from the parenthetical qualifier 'bicarbonate', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
complexlit_PMC8764690_pipes_hs_p_hs_medium	9	NaHCO3 (bicarbonate)	hco3	h2co3	exact_name	target hco3 is absent from the BiGGr reactome; substituted h2co3, which carries the identical InChIKey BVKZGUZCCUSVTD-UHFFFAOYSA-M; resolved from the parenthetical qualifier 'bicarbonate', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
complexlit_PMC9201475_5_n_free_bg_11_vitamin_b12_high_n_treatment	18	Light (photons)	photon	photon_e1	fuzzy_name	target photon_e1 carries no InChIKey and no formula in tools/bigg_metabolite_dict.json, so the name match could not be checked against structure; resolved from the parenthetical qualifier 'photons', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
complexlit_PMC9201475_5_n_free_bg_11_vitamin_b12_intermediate_n_tr	18	Light (photons)	photon	photon_e1	fuzzy_name	target photon_e1 carries no InChIKey and no formula in tools/bigg_metabolite_dict.json, so the name match could not be checked against structure; resolved from the parenthetical qualifier 'photons', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
complexlit_PMC9201475_5_n_free_bg_11_vitamin_b12_low_n_treatment	18	Light (photons)	photon	photon_e1	fuzzy_name	target photon_e1 carries no InChIKey and no formula in tools/bigg_metabolite_dict.json, so the name match could not be checked against structure; resolved from the parenthetical qualifier 'photons', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
complexlit_PMC9805005_enriched_artificial_seawater_f_2_type_nutrie	11	Bicarbonate (HCO3-)	hco3	h2co3	exact_name	bicarbonate; target hco3 is absent from the BiGGr reactome; substituted h2co3, which carries the identical InChIKey BVKZGUZCCUSVTD-UHFFFAOYSA-M; resolved from the parenthetical qualifier 'HCO3-', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00011	0	Nonanoate	C01601	nona	exact_name	target C01601 is absent from the BiGGr reactome; substituted nona, which carries the identical InChIKey FBUKVWPVBMHYJY-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00011	4	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00011	71	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00013	4	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00013	77	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00015	0	3-Methylbutanoic acid	3mb	ival	fuzzy_name	target 3mb is absent from the BiGGr reactome; substituted ival, which carries the identical InChIKey GWYFCOCPABKNJV-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00015	4	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00015	72	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00016	79	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00018	4	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00018	67	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00021	5	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00021	72	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00024	3	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00034	5	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00034	88	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00036	4	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00036	76	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00042	1	3-Methylbutanoic acid	3mb	ival	fuzzy_name	target 3mb is absent from the BiGGr reactome; substituted ival, which carries the identical InChIKey GWYFCOCPABKNJV-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00042	4	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00048	4	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00048	60	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00062	1	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00062	38	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00064	5	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00064	78	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00076	4	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00092	0	Nonanoate	C01601	nona	exact_name	target C01601 is absent from the BiGGr reactome; substituted nona, which carries the identical InChIKey FBUKVWPVBMHYJY-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00093	4	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00093	72	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00095	5	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00095	70	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00101	44	Ammonia	nh3	nh4	exact_name	target nh3 is absent from the BiGGr reactome; substituted nh4, which carries the identical InChIKey QGZKDVFQNNGYKY-UHFFFAOYSA-O	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00115	41	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00118	1	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00120	27	Ammonia	nh3	nh4	exact_name	target nh3 is absent from the BiGGr reactome; substituted nh4, which carries the identical InChIKey QGZKDVFQNNGYKY-UHFFFAOYSA-O	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00124	0	Nonanoate	C01601	nona	exact_name	target C01601 is absent from the BiGGr reactome; substituted nona, which carries the identical InChIKey FBUKVWPVBMHYJY-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00129	4	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00129	73	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00131	6	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00131	78	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00133	57	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00140	3	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00140	69	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00148	4	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00148	74	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00153	9	malonic acid	malon	HC00319	fuzzy_name	target malon is absent from the BiGGr reactome; substituted HC00319, which carries the identical InChIKey OFOBLEOULBTSOW-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00154	3	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00154	67	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00155	5	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00155	63	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00156	1	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00156	51	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00161	33	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00174	7	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00174	78	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00175	0	Nonanoate	C01601	nona	exact_name	target C01601 is absent from the BiGGr reactome; substituted nona, which carries the identical InChIKey FBUKVWPVBMHYJY-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00175	5	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00175	95	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00178	3	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00178	80	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00192	69	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00193	4	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00193	54	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00199	3	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00199	61	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00261	5	malonic acid	malon	HC00319	fuzzy_name	target malon is absent from the BiGGr reactome; substituted HC00319, which carries the identical InChIKey OFOBLEOULBTSOW-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00264	4	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00264	72	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00268	7	3-Methylbutanoic acid	3mb	ival	fuzzy_name	target 3mb is absent from the BiGGr reactome; substituted ival, which carries the identical InChIKey GWYFCOCPABKNJV-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00268	15	Isomaltose	HC00229	isomal	exact_name	target HC00229 is absent from the BiGGr reactome; substituted isomal, which carries the identical InChIKey DLRVVLDZNNYCBX-RTPHMHGBSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
