# tombstone_reason_codes.tsv
#
# The curation table behind data/web/tombstones.json. One row per withdrawn
# identifier in data/_quarantine.json.
#
#   id             the withdrawn medium id
#   reason_code    the published class-level code (tools/web_payload.py
#                  TOMBSTONE_REASON_CODES is the vocabulary; a code here that
#                  is not in that list fails the payload build)
#   source_reason  the workflow string the quarantine ledger carries
#   note           the reviewer's full prose, preserved verbatim, newlines as
#                  \n and tabs as spaces. INTERNAL. It is never projected into
#                  data/web/tombstones.json or onto any page.
#   evidence       the excerpt from the cited source the reviewer worked from,
#                  same escaping. INTERNAL, same rule.
#
id	reason_code	source_reason	note	evidence
complexlit_PMC11343714_in_vivo_honey_bee_apis_mellifera_ileum_host_	not_a_defined_medium	workflow:rejected	Not a defined bacterial growth medium. This entry describes an IN VIVO host condition (the honey bee ileum) plus the host DIET (sugar water: sucrose +/- [U-13C6]glucose) used for isotope pulse-chase labelling. It is not a medium in which S. alvi is cultured; indeed S. alvi cannot metabolize saccharides (no functional glycolysis) and grows on host-secreted organic acids, not on this sugar water. A sugar-water diet mislabelled as a growth medium -> reject. Should be removed from the media database (or reclassified as an in vivo tracer condition, not a growth medium).	we enriched newly emerged MF bees in 13C by feeding them 100% [U-13C6] glucose for 4 days after emergence ... then switching their diet to naturally abundant, 98.9% 12C glucose. ... we fed MF bees for 6 days with 45% of the dietary sucrose replaced by 100% [U-13C6] glucose.
complexlit_PMC11748545_pi3_nitrate_mineral_medium_methane_ca_no_lan	composition_not_stated	workflow:not_found	This paper does NOT define the composition of the 'Pi3% nitrate mineral medium'. It only names the medium and cites its formulation to reference 25 (Collins DA, Kalyuzhnaya MG, 2018, 'Navigating methane metabolism', Methods in Enzymology, doi:10.1016/bs.mie.2018.10.010). No salt, nitrate, phosphate, calcium, lanthanide, or trace-element amounts are given anywhere in this article — the auto-extraction itself flagged the true composition as living 'in ref 25'. Verdict is not_found because the source paper does not describe/define this medium's formulation; the maintainer must curate it from Collins & Kalyuzhnaya 2018, not from PMC11748545. Context the paper does supply: organism is the aerobic alkaliphilic methanotroph M. alcaliphilum 20Z^R; growth at pH 8.7–9, 30°C; carbon/energy source is methane (or methanol 0.2%) with a 20:80 methane:air headspace (aerobic — O2 required for methane monooxygenase); nitrogen source is nitrate ('nitrate mineral media'); phosphate-buffered ('Pi3%'); this specific variant is the Ca-supplemented, no-lanthanide condition. Amounts are unknown from this source, so no numeric formulation can be honestly asserted here. The current stored formulation (only O2 + methane) is not a usable medium definition regardless.	M. alcaliphilum 20Z^R strains were routinely grown in Pi3% nitrate mineral media supplemented with methanol (0.2%, vol/vol) or methane as described previously (25). Methane (25–50 mL) was introduced into 125–250 mL vials ... to keep a methane:air ratio of 20:80 in headspace.
complexlit_PMC11844248_basal_anaerobic_ba_medium_0_2_g_l_yeast_extr	composition_not_stated	workflow:not_found	The paper names and uses 'basal anaerobic (BA) medium + 0.2 g/L yeast extract' but its actual composition is NOT in the fulltext XML — it is defined only in 'Supplementary Document 1' and 'Supplementary Table 1', which are not available here. Therefore the true full formulation cannot be reconstructed or confirmed from the paper. The current auto-extracted entry is INCORRECT: it is a fabricated decomposition of the words 'yeast extract' into 45 generic components (20 amino acids, B-vitamins, nucleosides, trace metals) with no concentrations, all tagged derived_from=yeast extract. It omits the entire BA basal medium (mineral salts, phosphate + bicarbonate buffer, anaerobic reducing agent, defined trace-element/vitamin solution) and the real carbon sources (acetate and CO2/H2), and it invents component identities/amounts not stated in the paper. Recommend rejecting the current 45-component list and re-curating from the paper's Supplementary Document 1 / Supplementary Table 1. Context: thermophilic (55 C) anaerobic methanogenic enrichment dominated by Methanothermobacter wolfeii; strictly anaerobic. Components below are only those genuinely supported by the accessible fulltext.	Each reactor consisted of a 1 L glass bottle with a 350 ml working volume of BA medium supplemented with limited addition of yeast extract (0.2 g/L final concentration) ... The culture was grown in basal anaerobic (BA) medium and fed with pure CO2 and H2 in 1:4 volumetric ratio.
complexlit_PMC11725911_mpgt_semidefined_iron_limited_medium	composition_not_stated	workflow:not_found	This paper (Mahoney et al., PNAS 2024, Corynebacterium diphtheriae hemoglobin/heme uptake) NAMES the semidefined iron-limited medium 'mPGT' but does NOT provide its composition — it defers the recipe to reference 93 ('previously described (93)'). Therefore the full formulation cannot be verified or reconstructed from THIS source paper. The only medium-related quantities THIS paper specifies are three supplements/conditions: FeCl3 at 0.25 uM (low-iron condition), kanamycin at 50 ug/mL (selection), and purified human hemoglobin (MP Biomedical) added as an iron/heme source in the growth assays. The auto-extracted formulation is wrong: it lists 'O2' and 'hemoglobin (Hb)' as the medium, but hemoglobin is the iron source under study (a variable substrate), not a base medium component, and O2 was never asserted. The mPGT base (salts, carbon source, N source, buffer) is undefined in this paper. Recommend sourcing composition from reference 93 before publishing any formulation; do not use O2+hemoglobin as the recipe. C. diphtheriae grown aerobically.	Iron-limited growth assays were done in a semidefined medium, mPGT, which has been previously described (93). Iron chloride (FeCl3) was added at 0.25 uM for a low iron growth condition, and kanamycin was used at 50 ug/mL.
complexlit_PMC12577380_oligotrophic_groundwater_microcosm_defined_t	not_a_defined_medium	workflow:rejected	NOT a defined growth medium. The 'Defined' treatment is natural oligotrophic groundwater from the Hainich CZE (wells H41 oxic / H52 anoxic) amended with ONE chemically-defined organic carbon SUBSTRATE (veratric acid OR cellulose OR starch). The word 'Defined' refers to the defined organic substrate, not a defined medium — the base is undefined natural groundwater of variable composition (~1-2 mg/L DOC, ~70-90 mg/L TIC, pH 7.2-7.3). No salts, buffers, N source amounts, or supplement concentrations are given in the main text (they reside in Table S1 / Supplementary Information, not in the fulltext). This is an in-situ groundwater microcosm / substrate list mislabelled as a growth medium; it is not BiGG-mappable and cannot be enumerated as a formulation. Reject. Oxygen: treatments span both oxic (H41) and anoxic (H52) conditions, hence facultative.	"All incubations were conducted in oligotrophic groundwater with minimal supplements, avoiding the use of rich media, vitamins, or trace elements. ... 'Defined' treatments included chemically defined organic compounds like veratric acid, cellulose, or starch"
complexlit_PMC12577380_oligotrophic_groundwater_microcosm_specific_	not_a_defined_medium	workflow:rejected	NOT a real defined medium and the specific treatment is unidentified. The record's own name states 'specific treatment for this value not identified in text.' The paper only describes natural oligotrophic groundwater microcosms grouped into Auto/Methylo/Defined/Complex treatments with no defined composition and no concentrations in the fulltext. With no identifiable treatment and no enumerable formulation, this is not a usable growth-medium formulation. Reject (unidentifiable natural-groundwater microcosm placeholder).	"All incubations were conducted in oligotrophic groundwater with minimal supplements, avoiding the use of rich media, vitamins, or trace elements." (the specific treatment for this record is not identified anywhere in the text)
complexlit_PMC13001810_medium	extraction_artifact	workflow:rejected	PMC13001810 (Xia 2026, Mol Biol Evol) is a purely computational study of codon optimization in ribosomal-protein genes; it performs no culturing and defines no growth medium. The only culture reference is a secondhand citation (Kashiwagi et al. 1989) noting that putrescine at 100 ug/mL was added to E. coli mutant (MA261/KK101) cultures to stimulate RP S1 synthesis. The auto-extracted entry (O2 + putrescine, flagged 'fewer than 3 real components') is a lone supplement mislabelled as a medium: no base, no carbon/N source, no salts, no buffer. Not a real defined growth medium -> reject.	Addition of putrescine (a polyamine) at 100 μg/mL to the culture stimulated the synthesis of RP S1 markedly but had little effect on other RPs (Kashiwagi et al. 1989).
complexlit_PMC12766714_ebpr_sequencing_batch_reactor_sbr3_acetate_f	not_a_defined_medium	workflow:rejected	REJECTED as a growth-medium record. This is not a defined (or even a described complex) growth medium in the paper's full text. 'SBR3' is a mixed-culture activated-sludge enrichment sequencing batch reactor inoculated with activated sludge from a Guangzhou WWTP and fed acetate, operated on anaerobic-aerobic EBPR cycles; it was used for carbon-uptake assays with acetate/lactate/succinate. The fulltext gives NO medium formulation (no salts, buffers, N/P source, trace elements, or synthetic-wastewater recipe) and explicitly defers all reactor operating conditions to the Supplementary Information, which is not present in this XML. The only 'defined minimal medium supplemented with acetate and inorganic ions' mentioned is an in-silico COBRApy modeling medium, not the reactor feed. The current auto-extracted entry is effectively just O2 plus an uncovered 'acetate' substrate (flagged 'fewer than 3 real components'), which is a substrate/reactor label mislabelled as a growth medium. Oxygen marked facultative because the system alternates anaerobic feast / aerobic phases; the confirmed carbon uptake (acetate/lactate/succinate) occurs under the anaerobic phase. Recommend removing this record or replacing it only after retrieving the full feed recipe from the paper's SI.	SBR3 ... was seeded with activated sludge from the same WWTP in Guangzhou with acetate as a carbon source. Anaerobic-aerobic cycle experiments were conducted to evaluate the ability of Ca. Accumulibacter to utilize lactate and succinate. ... Detailed reactor operating conditions, anaerobic-aerobic cycle protocols, sample collection procedures, and sequencing methodologies for all these reactors are provided in the SI.
complexlit_PMC13012070_sn_medium_waterbury_et_al_recipe_coastal_sea	composition_not_stated	workflow:not_found	This paper does NOT define the composition of SN medium. It only states that Synechococcus was cultured in 'SN media prepared according to Waterbury et al.' (reference 55) using a natural 0.2-um filtered coastal seawater base (Vineyard Sound, MA). No salts, nutrients, trace elements, vitamins, or amounts are given anywhere in the text or tables of PMC13012070 — the recipe lives in the cited Waterbury et al. paper, not here. SN is a real, defined cyanobacterial enrichment medium (added to a natural-seawater base), so it is not 'rejected'; but because THIS paper supplies no formulation, the honest verdict is not_found. The current extraction is a placeholder (only 'O2' plus an unmapped 'coastal seawater' line, flagged 'fewer than 3 real components' / 'not manually verified') and cannot be verified or corrected from this source. Recovering a real recipe would require sourcing Waterbury et al. 1986, which is outside this paper. Oxygen = aerobic: the organism (Synechococcus) is an oxygenic photoautotroph grown in the light.	Synechococcus was grown in SN media prepared according to Waterbury et al. (55), all with a base of 0.2-um filtered coastal seawater collected from Vineyard Sound, MA.
complexlit_PMC13012070_so_medium_sn_recipe_omitting_nano3_75_sargas	composition_not_stated	workflow:not_found	This paper does NOT define the composition of SO medium. It only states that Crocosphaera watsonii was grown in 'SO media, which followed the SN media recipe but omitted NaNO3, with a base of 75% Sargasso seawater (diluted to 75% with MilliQ).' Since SO is defined only as 'SN recipe minus NaNO3', and this paper never gives the SN recipe (it cites Waterbury et al., ref 55), no formulation can be grounded in PMC13012070 -> not_found. The current extraction is worse than a placeholder: it lists NaNO3 (as na1 + no3 exchanges) as a component, but the paper explicitly states SO medium OMITS NaNO3 — so the one non-trivial component in the extraction is exactly backwards. It also carries only 'O2' and an unmapped '75% Sargasso seawater' base and is flagged 'not manually verified'. Oxygen = aerobic: C. watsonii is an oxygenic diazotrophic cyanobacterium grown in the light.	C. watsonii was grown in SO media, which followed the SN media recipe but omitted NaNO3, with a base of 75% Sargasso seawater (diluted to 75% with MilliQ).
complexlit_PMC13037477_soil_slurry_microcosm_0x_mwm_mineral_water_m	not_a_defined_medium	workflow:rejected	REJECTED as a defined growth medium. This entity is a SOIL SLURRY MICROCOSM: 3 g fresh (grassland/agricultural) soil + 150 ml MWM incubated at 25C in the dark. It is an environmental incubation dominated by an undefined complex soil matrix, not a chemically defined/formulated growth medium usable for GEM constraints. The '0x MWM' variant explicitly contains NO added basic salts (EC ~60 uS/cm); only supplements + soil. The defined MWM base (mineral water medium) supplements are: KH2PO4, NaHCO3, HEPES, pyruvic acid, trace elements, and ferric sodium EDTA, with NH4Cl (100 uM) added as the oxidizable substrate; exact concentrations are ONLY in Supplementary Table S1, which is not present in the fulltext XML, so amounts cannot be verified. The current extraction (O2 + ammonia + 'fresh soil') is also wrong/incomplete regardless. Organism scope is ammonia oxidizers (AOA/AOB/CMX), which are obligate aerobes (O2-dependent nitrification). Recommend removing from the database; if retained, it must be labelled a soil microcosm, not a medium, and the full MWM salt composition retrieved from Supplementary Table S1.	Soil slurry microcosms were set up in 250-ml polystyrene culture flasks, each containing 3 g of fresh soil mixed with 150 ml of 0x, 1x, or 10x MWM, with triplicate samples for each condition.
complexlit_PMC13037477_soil_slurry_microcosm_10x_mwm_mineral_water_	not_a_defined_medium	workflow:rejected	REJECTED as a defined growth medium, same rationale as the 0x variant. Soil slurry microcosm = 3 g fresh soil + 150 ml 10x MWM, EC ~780 uS/cm. It is an environmental incubation dominated by undefined soil, not a formulated medium. The ONLY difference from the 1x/0x variants is that the MWM basic salts (monovalent + divalent cations) are at 10-fold concentration; the defined supplement set is identical (KH2PO4, NaHCO3, HEPES, pyruvic acid, trace elements, ferric sodium EDTA) plus NH4Cl 100 uM as substrate. Exact salt identities and concentrations are only in Supplementary Table S1, absent from the fulltext XML, so a numeric formulation cannot be verified. Current extraction (O2 + ammonia + 'fresh soil') is wrong/incomplete. Ammonia oxidizers are aerobic. Recommend removal or relabelling as a microcosm; full salts must come from Supplementary Table S1.	For comparison, soil slurry microcosms prepared with 10x MWM had an EC value of ~780 uS/cm, corresponding to the 90th percentile of soil ECs. ... Varying salinity levels were achieved by preparing different strengths of MWM through the adjustment of monovalent and divalent cation concentrations.
complexlit_PMC13037477_soil_slurry_microcosm_1x_mwm_mineral_water_m	not_a_defined_medium	workflow:rejected	REJECTED as a defined growth medium, same rationale as the other two variants. Soil slurry microcosm = 3 g fresh soil + 150 ml 1x MWM, EC ~120-128 uS/cm. Undefined-soil-dominated environmental incubation, not a formulated medium. Differs from 0x/10x only in the concentration of MWM basic salts (monovalent/divalent cations at 1x). Defined supplements: KH2PO4, NaHCO3, HEPES, pyruvic acid, trace elements, ferric sodium EDTA; NH4Cl 100 uM as substrate. Exact salt composition only in Supplementary Table S1, not in fulltext XML, so numeric formulation is unverifiable. Current extraction (O2 + ammonia + 'fresh soil') is wrong/incomplete. Ammonia oxidizers are aerobic. Recommend removal or relabelling; retrieve full salts from Supplementary Table S1.	The ECs of the soil slurry microcosms prepared with 0x (without basic salts; EC ~60 uS/cm) and 1x MWM (EC ~120 uS/cm) were comparable to those observed in low-salinity soil environments... After all supplements were added, the EC of 1x MWM was measured at 128 uS/cm.
complexlit_PMC12816087_cdmg_agar_co_culture_spot_2_5_cm_from_lactat	extraction_artifact	workflow:rejected	Not a distinct growth medium. '2.5 cm from lactate producer LM' is an experimental spatial position on a lactate-diffusion gradient (co-culture spotting distance), NOT a compositional variant. The underlying medium is plain CDMG agar, already represented by the entry 'complexlit_PMC12816087_cdmg_chemically_defined_medium_cdm_2_glucose'. Keeping this as a separate medium would create a duplicate / mislabelled experimental condition in the public DB. Reject; if a physical medium is needed it is identical to CDMG agar (CDM base + 2% glucose + 1.0% w/v agar).	CDMG or CDMS agar plates were prepared in the same way as MRS agar plates, except that CDMG or CDMS liquid medium was mixed with 1.0% (w/v) agar
complexlit_PMC13236585_rich_medium_mgam_wca_schaedler_with_and_with	extraction_artifact	workflow:rejected	Not a real single growth medium. This entry is an auto-extraction artifact that conflates THREE distinct, separately-sold commercial complex broths (mGAM = modified Gifu Anaerobic Medium, HyServe 05433; WCA = Wilkins-Chalgren Anaerobe broth, Oxoid CM0643; Schaedler broth, Carl Roth 5772.1) into one lumped 'medium.' The paper explicitly calls these 'three undefined media' and gives NO chemical formulation for any of them; they are used as alternative rich bases for different species, not as one combined medium. The current record is also mislabelled aerobic/facultative with only O2 as a component, whereas all cultivation in the paper was strictly anaerobic (37 C, vinyl anaerobic chamber, COY). Because it is not a single defined medium and the paper defines no composition, it should be removed/split rather than formulated. If retained, WCA is captured by the sibling record; mGAM and Schaedler broth would each need their own manufacturer-formula entries.	Different media used in experiments for cultivation of individual species belong to three undefined media: mGAM (modified Gifu anaerobic medium broth, HyServe; 05433), WCA (Wilkinson-Chalgren anaerobic broth, Oxoid; CM0643) and Schaedler broth (Carl Roth; 5772.1).
complexlit_PMC3261703_glucose_minimal_medium_chemostat_as_reported	composition_not_stated	workflow:not_found	PMC3261703 is the iJO1366 E. coli reconstruction paper (Orth et al., 2011). It does NOT report the composition of the Taymaz-Nikerel et al. 2010 chemostat glucose minimal medium — that citation is used only to recalculate GAM/NGAM maintenance values; the actual medium formulation lives in the cited Taymaz-Nikerel paper, not here. The only glucose 'minimal media' referenced in this paper are (a) in-silico FBA setups (glucose exchange lower bound -8 or -10, O2 -18.5, inorganic ions -1000 mmol gDW^-1 h^-1) which are modeling constraints, not a physical medium, and (b) physical 'glucose M9 minimal medium' in the Keio knockout screen with no salt concentrations given ('washed twice with 200 ul of 1x M9 salts'). The current auto-extracted record (D-Glucose + O2 only) is a substrate/exchange-bound list mislabelled as a defined medium; no full formulation is definable from this paper. verdict=not_found because the paper does not describe this medium's composition. Oxygen set to aerobic: the referenced work is an aerobic E. coli glucose chemostat and the iJO1366 default simulations are aerobic (O2 exchange lower bound -18.5). No salts, N source, buffers, vitamins, or trace elements are recoverable from this paper.	Growth-associated and non-growth-associated maintenances values were recalculated based on recent E. coli K-12 MG1655 chemostat data for growth on glucose minimal media (Taymaz-Nikerel et al, 2010).
