# tools/curation/metabolite_corrections.tsv
#
# Reviewed metabolite-identity corrections for MediaDB. This file is the ONLY
# place a component may be given evidence_tier "curated_mapping": a row here
# records a human decision together with the chemistry that justifies it, so a
# rebuild reproduces the correction instead of a curator re-patching data.
#
# Consumed by: tools/stages/remap_components.py
# Every row must carry a non-empty `chemistry` justification or the stage aborts.
#
# COLUMNS
#   correction_id       stable id, cited in the change ledger
#   applies_to_method   regex over the component's mapping_method; '*' = any
#   match_field         component_name_regex | component_name_exact | bigg_id
#   match_value         value for match_field. Regexes are CASE-SENSITIVE, because
#                       case is load-bearing chemistry here (CO2 vs Co2+).
#   current_bigg        only match components currently on this BiGG id ('' = any)
#   action              retarget | retier | unmap | mark_mixture
#   target_bigg         new BiGG id (retarget only)
#   evidence_tier       tier to record on the corrected component
#   proxy_for           pipe-separated ids the target stands in for (class/aggregate)
#   source_name         true source string to restore when the pipeline destroyed it
#   chemistry           REQUIRED. why this is right, in chemical terms
#   reference           where the chemistry comes from
#   flux_consequential  yes|no  -- does this change what a model can take up
#   breaking_id_change  yes|no  -- does an exchange id visible to users change
#   decided_by          who decided
#   decided_on          ISO date
correction_id	applies_to_method	match_field	match_value	current_bigg	action	target_bigg	evidence_tier	proxy_for	source_name	chemistry	reference	flux_consequential	breaking_id_change	decided_by	decided_on
MIX-YEXT-01	*	component_name_regex	^\s*(?i:yeast extract|yeast autolysate)\s*$		mark_mixture		unmappable_mixture			Yeast extract is an undefined mixture of amino acids, peptides, nucleotides, vitamins and salts whose composition varies by manufacturer and lot. No single BiGG exchange represents it. It is representable only as a declared decomposition into constituents (mapping_method complex_decomposition), which is a derived approximation and is labelled as one.	operator decision: invented components are segregated and labelled, never presented as observations	no	no	metabolite-mapping workstream	2026-09-06
MIX-PEPT-01	*	component_name_regex	^\s*(?i:peptone|bacto ?peptone|proteose peptone(?: \(?No\.? ?\d\)?)?|tryptone|trypticase|casitone|soytone|polypeptone)\s*$		mark_mixture		unmappable_mixture			Peptones and tryptones are undefined enzymatic protein hydrolysates. No single BiGG exchange represents one. This rule also removes a specific chemistry error: "Proteose peptone (No. 3)" normalised to the key "no3" and was mapped to EX_no3_e, giving an undefined hydrolysate a nitrate uptake bound in a medium containing no nitrate.	audit MAP-10 (proteose peptone -> no3)	yes	yes	metabolite-mapping workstream	2026-09-06
MIX-CAS-01	*	component_name_regex	^\s*(?i:cas(?:ein)? ?(?:amino acids|hydrolysate|hydrolyzate)|casamino ?acids|acid[- ]hydrolysed casein|NZ ?amine)\s*$		mark_mixture		unmappable_mixture			Casein hydrolysate / casamino acids is an undefined acid or enzymatic hydrolysate of casein. Its amino-acid profile is manufacturer-specific and tryptophan is destroyed by acid hydrolysis, so a fixed expansion is an approximation, not a composition.	operator decision on invented components	no	no	metabolite-mapping workstream	2026-09-06
MIX-EXT-01	*	component_name_regex	^\s*(?i:beef extract|meat extract|malt extract|corn steep (?:liquor|solids)|lab[- ]lemco|liver extract|brain heart infusion)\s*$		mark_mixture		unmappable_mixture			Undefined biological extracts. No single BiGG exchange represents one.	operator decision on invented components	no	no	metabolite-mapping workstream	2026-09-06
MIX-SOLN-01	*	component_name_regex	^\s*(?:(?:[\w'’-]+[\s/-]+)?(?:[Mm]ineral|[Tt]race[- ][Ee]lement|[Tt]race[- ][Mm]etal|[Vv]itamin|[Ss]alt|[Aa]mino[- ]acid)s?[\s/-]*(?:[Ss]olution|[Mm]ix|[Mm]ixture|[Ss]tock)|[Ww]olfe|[Ww]olin|SL-?10\b|DSM-?141\b|[Vv]itamins?\s*[(:]|[Tt]race\s+[Ee]lements?\s*[(:])		mark_mixture		unmappable_mixture			A named multi-compound stock solution is not one metabolite. Wolfe's mineral solution (14 salts) had been collapsed onto molybdate alone; a Wolin/DSM-141 vitamin solution (10 vitamins) onto folate alone; a nine-vitamin string onto pyridoxine alone. The generating code (tools/enrich_coverage.py recover(), which returns on the FIRST token that maps and discards the rest) silently deleted every remaining constituent. A stock solution must be expanded into its constituents as a declared approximation, or left unmapped -- never reduced to whichever member matched first. The pattern is ANCHORED at the start of the name: a component named for ONE ion that merely annotates which stock it came from ("Copper (trace element solution)", "Biotin (Wolfe's vitamins)") is a correctly decomposed constituent and must be left alone -- an unanchored pattern deleted ~50 such rows in testing.	audit MAP-10 and its verification (mechanism located at enrich_coverage.py:319-322 and :356-364)	yes	yes	metabolite-mapping workstream	2026-09-06
MIX-NEG-01	*	component_name_regex	(?i:lacking|without|omitted|minus|deprived of|devoid of|free of|drop-?out)\s+(?:[A-Za-z0-9''-]+,\s*)*[A-Za-z]		mark_mixture		unmappable_mixture			A drop-out medium's name states which nutrients are ABSENT. The pipeline split the list and supplied the first compound it could map, so four PMC6659692 media each ship exactly the one amino acid the experiment removed, at a negative uptake bound. A stated absence must never become a present component; these rows are removed from the composition and the medium is flagged for reconstruction from the paper.	audit MAP-10 verification (double inversion in complexlit_PMC6659692_*)	yes	yes	metabolite-mapping workstream	2026-09-06
MIX-FLAV-01	*	component_name_regex	^[^,]+,\s*[^,]+,\s*[^,]+(?:,\s*[^,]+)+\s*\((?i:genuine|real|native)[^)]*\)$		mark_mixture		unmappable_mixture			A comma-separated list of several named compounds followed by a curator gloss ("genuine cabbage flavonoids") is a mixture, not a metabolite. These strings had been collapsed onto whichever member matched first (quercetin).	audit MAP-10	no	no	metabolite-mapping workstream	2026-09-06
CHEM-CO-01	*	component_name_regex	[Cc]oCl2|[Cc]oSO4|[Cc]obalt	co	retarget	cobalt2	curated_mapping			co is carbon monoxide (formula CO, InChIKey UGFAIRIUMAVXCW-UHFFFAOYSA-N). Components named for cobalt chloride or cobalt sulfate are the cobalt(II) cation (formula Co, XLJKHNWPARRRJB-UHFFFAOYSA-N). Same case-folding collision as CHEM-CO2-01, in the other direction: 'Co' and 'CO' are one key once case is discarded. Restricted to components already on co whose name carries a cobalt token, so the 25 genuine carbon-monoxide rows are untouched.	audit MAP-01 mechanism, extended; dict entries co / cobalt2	yes	yes	metabolite-mapping workstream	2026-09-06
CHEM-B12-03	usda_nutrient	bigg_id	cbl1	cbl1	retarget	adocbl	class_proxy	adocbl|C06453|cbl2|cbl1	Vitamin B-12	The USDA "Vitamin B-12" nutrient rows carry the component name "Cob(I)alamin" because the builder wrote the BiGG display name over the source nutrient string, so they are invisible to a name-based rule and are matched on method plus id instead. Same chemistry as CHEM-B12-01: Cob(I)alamin is a transient reduced Co(I) intracellular redox state and is not a dietary B12 species. Deliberately scoped to usda_nutrient, so the 2,416 cbl1 rows that were INVENTED by hydrolysate_approximation and complex_decomposition are not retargeted -- changing the identity of a fabricated component would dress up a fabrication as a correction.	tools/curation/usda_nutrient_table.tsv row 'Vitamin B-12'; audit MAP-05(e)	yes	yes	metabolite-mapping workstream	2026-09-06
CLASS-USDA-181	usda_nutrient	bigg_id	ocdcea	ocdcea	retier		class_proxy	ocdcea|ocdce9a|elaid|vacc|M00115|M00019	MUFA 18:1 c|MUFA 18:1	USDA reaches ocdcea only through the class strings "MUFA 18:1 c" and "MUFA 18:1", both of which name a chain-length:unsaturation CLASS covering every C18:1 positional and geometric isomer. The builder replaced the class string with the BiGG display name "Octadecenoate (n-C18:1)", so the rows are invisible to a name-based rule and are matched on method plus id. BiGG resolves six distinct C18:1 species, so the collapse onto oleate is a declared assumption. The two source nutrients also collide on this one exchange, so one measured amount silently overwrote the other.	audit MAP-08 verification; tools/curation/usda_nutrient_table.tsv	no	no	metabolite-mapping workstream	2026-09-06
CLASS-USDA-204	usda_nutrient	bigg_id	arachd	arachd	retier		class_proxy	arachd	PUFA 20:4|PUFA 20:4c	USDA reaches arachd only through "PUFA 20:4" and "PUFA 20:4c", class strings covering all C20:4 isomers; arachd is arachidonate (5Z,8Z,11Z,14Z) specifically. Matched on method plus id because the class string was overwritten with the BiGG display name. The two nutrients also collide on this exchange.	audit MAP-08 verification	no	no	metabolite-mapping workstream	2026-09-06
CLASS-USDA-182	usda_nutrient	bigg_id	lnlc	lnlc	retier		class_proxy	lnlc	PUFA 18:2 n-6 c,c|PUFA 18:2 c	USDA reaches lnlc through two nutrients: "PUFA 18:2 n-6 c,c", which is fully specified and would be exact, and "PUFA 18:2 c", which states only chain length and cis geometry. They collide on one exchange and the source string was overwritten, so which nutrient produced any given row is unrecoverable. Recorded at the FLOOR of the two, class_proxy, rather than claiming the stronger of them.	audit MAP-08 verification	no	no	metabolite-mapping workstream	2026-09-06
CLASS-USDA-183	usda_nutrient	bigg_id	lnlnca	lnlnca	retier		class_proxy	lnlnca|strdnc	PUFA 18:3 n-3 c,c,c (ALA)|PUFA 18:3 c	As CLASS-USDA-182: a fully specified nutrient and a class nutrient collide on one exchange and the source string was destroyed, so the row is recorded at the floor of the two.	audit MAP-08 verification	no	no	metabolite-mapping workstream	2026-09-06
CHEM-B12-04	(?!usda_).*	component_name_regex	[Cc]ob\((?:I|i|1)\)alamin		retarget	cbl1	curated_mapping			Exception to CHEM-B12-01. Where the SOURCE itself names Cob(I)alamin, cbl1 is the right target and must not be swept into the dietary-B12 proxy. Scoped away from usda_* because the USDA rows carry "Cob(I)alamin" only as an echo of the BiGG display name the builder wrote over the source nutrient string -- there the name is the pipeline's word, not the source's.	dict entry cbl1 = Cob(I)alamin, C62H87CoN13O14P	no	no	metabolite-mapping workstream	2026-09-06
CLASS-FA-182B	*	component_name_regex	^PUFA 18:2(?! n-6)	lnlc	retier		class_proxy	lnlc		A bare "PUFA 18:2" states chain length and degree of unsaturation only -- no double-bond position, no geometry -- so it covers every C18:2 isomer. lnlc is linoleate (9Z,12Z). The fully specified "PUFA 18:2 n-6 c,c" is excluded by the negative lookahead and stays at its name tier, because there the source string does fix the compound.	audit MAP-08	no	no	metabolite-mapping workstream	2026-09-06
CLASS-FA-183B	*	component_name_regex	^PUFA 18:3(?! n-3)	lnlnca	retier		class_proxy	lnlnca|strdnc		As CLASS-FA-182B: a bare "PUFA 18:3" covers every C18:3 isomer; lnlnca is alpha-linolenate (9Z,12Z,15Z). "PUFA 18:3 n-3 c,c,c (ALA)" is excluded and keeps its name tier.	audit MAP-08	no	no	metabolite-mapping workstream	2026-09-06
CLASS-FA-203B	*	component_name_regex	^PUFA 20:3(?! n-6)	dlnlcg	retier		class_proxy	dlnlcg		A bare "PUFA 20:3" covers every C20:3 isomer; dlnlcg is dihomo-gamma-linolenate (8Z,11Z,14Z) specifically.	audit MAP-08	no	no	metabolite-mapping workstream	2026-09-06
CLASS-FA-202B	*	component_name_regex	^PUFA 20:2(?! n-6)	M00008	retier		class_proxy	M00008		A bare "PUFA 20:2" covers every C20:2 isomer; M00008 is 11Z,14Z-eicosadienoate specifically.	audit MAP-08	no	no	metabolite-mapping workstream	2026-09-06
CLASS-VITA-01	*	component_name_regex	^Vitamin A[,( ]|^Vitamin A$|retinol activity equivalent	retinol	retier		class_proxy	retinol|caro|acaro|bcryptox		"Vitamin A, IU" and "Vitamin A, RAE" are ACTIVITY aggregates: they sum preformed retinol and the provitamin A carotenoids (beta-carotene, alpha-carotene, beta-cryptoxanthin) after applying conversion factors. Mapping the aggregate onto retinol alone assigns one member of the group the whole activity, and a bacterium cannot convert IU into a molar uptake. Declared aggregate proxy. The separately reported "Retinol" nutrient is a specific compound and is deliberately NOT matched by this pattern.	USDA FoodData Central nutrient definitions	no	no	metabolite-mapping workstream	2026-09-06
CLASS-VITD-01	*	component_name_regex	^Vitamin D \(D2 \+ D3\)|^Vitamin D2\+D3|^Vitamin D, IU|^Vitamin D$	vitd3	retier		class_proxy	vitd3|vitd2		"Vitamin D (D2 + D3)" explicitly sums two distinct compounds -- ergocalciferol (D2) and cholecalciferol (D3) -- and is reported in International Units. vitd3 is cholecalciferol alone. Declared aggregate proxy.	USDA FoodData Central nutrient definitions	no	no	metabolite-mapping workstream	2026-09-06
CHEM-GLA-01	*	component_name_regex	^PUFA 18:3 n-6|^Gamolenic|^Gamma-?linolenic	lnlnca	retarget	lnlncg	curated_mapping			C18:3 n-6 is GAMMA-linolenic acid (lnlncg, C18H29O2, InChIKey VZCCETWTMQHEPK-QNEBEIHSSA-M, in BiGGr). It had been mapped to lnlnca, ALPHA-linolenic acid, which is C18:3 n-3 -- the same chain length and degree of unsaturation but different double-bond positions, so a different compound with a different InChIKey (DTOSIQBPPRVQHS-PDBXOOCHSA-M). The n-3/n-6 distinction is the whole point of reporting these separately. Also corrected in the mapper alias table.	dict entries lnlnca / lnlncg; found by hand-verifying the class_proxy stratum of this pass	no	yes	metabolite-mapping workstream	2026-09-06
CHEM-CYS-02	(?!usda_).*	component_name_regex	^L-[Cc]ystine|^[Cc]ystine	cystine__L	retarget	cysi__L	curated_mapping			cystine__L carries no formula, no InChIKey and is absent from the BiGGr reactome, so EX_cystine__L_e is an unusable exchange. cysi__L is L-cystine proper: C6H12N2O4S2, InChIKey LEVWYRKDKASIDU-IMJSIDKUSA-N, in_biggr true. These 527 rows keep their source name, so unlike the USDA cys__L rows (CHEM-CYS-01) they CAN be retargeted rather than only relabelled. Harmonises the resource onto one id for one analyte.	dict entries cystine__L / cysi__L; audit COV-01 verification item 2	yes	yes	metabolite-mapping workstream	2026-09-06
CHEM-GLA-02	*	component_name_regex	^(?!.*[Dd]ihomo)(?:Gamolenic|Gamma-?linolenic|GLA\b)	dlnlcg	retarget	lnlncg	curated_mapping			Companion to CHEM-GLA-01 for the rows that landed on dlnlcg instead of lnlnca. Gamma-linolenic acid is C18:3 n-6 (lnlncg, C18H29O2). dlnlcg is DIHOMO-gamma-linolenic acid, C20:3 n-6 (C20H33O2) -- two carbons longer, a different metabolite with a different InChIKey. The negative lookahead protects the rows where the source genuinely says dihomo, and "PUFA 20:3" / "PUFA 20:3 n-6" are untouched because they do not match the name pattern.	dict entries lnlncg / dlnlcg; found in the review queue of this pass	no	yes	metabolite-mapping workstream	2026-09-06
